id,hoursSun,sqFtRoof,zipCode
7529a29b-3683-4633-965b-2dbfeefe7bf2,"1,673","2,801"
1b82cb48-c26a-4353-9fb8-6c4485236fe3,"1,673","2,801"
7dcd9208-2def-4dde-abb9-9cb45519ef85,"1,765","3,048"
e02463ef-073a-443a-8964-7d7c7c6e73a1,"1,665","3,013"
6f76bfdb-fe77-4c21-a1b7-9fbe268fa6fe,"1,636","2,837"
e782c010-9b0a-4803-9d0d-e9b2827292db,"1,617","2,185"
ff52f3fb-0bf8-4ee5-923d-878046dc6a5b,"1,715","2,608"
b2ec59ec-71e9-44d1-96fa-6b808cd48450,"1,665","3,013"
f101466b-f7ae-4612-ad26-39d0d7cf5098,"1,617","2,185"
d35b9ad4-f081-4b56-8f18-9f178b91b42f,"1,765","3,048"
5cf31dd8-dc76-4787-8254-fb896645edb2,"1,715","2,608"
ce4f58ad-d0b1-4b59-a7a8-7ebba5414549,"1,617","2,185"
be363c25-73a7-4b08-9f32-1092a2a27fc9,"1,665","3,013"
c326e13b-9ea0-4ca6-b921-5fd9551e07a3,"1,617","2,185"
8f164943-d698-4b37-8c2d-507ca7b9d16d,"1,636","2,837"
8962f2c3-eae3-45e2-ab93-d561dd555c36,"1,665","3,013"
bf80a8eb-b5e7-4b79-8e4d-751c7c2499d1,"1,617","2,185"
5391b5d4-5266-40d0-b762-fa27890e4706,"1,617","2,185"
8e510259-277d-45c5-a178-d4b39a92a6e1,"1,665","3,013"
65bca43a-e6f5-443e-9f6c-1622f79c12a7,"1,617","2,185"
9d981624-2f33-4833-9dc7-6ed749d7be10,"1,617","2,185"
6ad26047-c96b-4470-ae4b-9b5206fa0ef8,"1,617","2,185"
8c113a88-efbb-47ba-b355-827565fda225,"1,617","2,185"
446768c9-7959-4b77-ae6d-d806c87e4a58,"1,765","3,048"
4dc4785b-00d9-4fe0-b6ae-001bdb86bfca,"1,617","2,185"
99ab312d-3a97-456e-b504-56a9b51b539f,"1,665","3,013"
0688e1c0-a776-4a87-89fd-f7e04f853cdd,"1,665","3,013"
1f8c8d7f-6acc-4633-be6c-7d88cd069d07,"1,765","3,048"
1dcce5e3-46a1-4d29-abad-4133135fb2e4,"1,665","3,013"
e3e844bc-5d5b-4b2f-b893-a4fe6d3237d5,"1,636","2,837"
83e61b69-0f12-413e-a288-1de6acd6d04b,"1,665","3,013"
c6cfe991-4c74-46ea-89e4-704e2bb6b796,"1,665","3,013"
27e636a4-3c79-4280-b9fa-daec75bdc0d2,"1,665","3,013"
c64ab848-8fdf-4cf7-b02b-9af645081e77,"1,624","2,537"
55a07527-db4f-4cc0-bf49-26ed982ffeb5,"1,706","2,149"
a3e8ad26-58b3-4c25-abb9-0cd84e68b0dc,"1,665","3,013"
4ddd64c7-8d33-4455-8b3c-b18344b4e00a,"1,636","2,837"
0a2a25b3-bd97-46e5-aa42-63dcd0e621e0,"1,665","3,013"
3d42fe97-26db-43e0-8f96-49b5c556fc65,"1,765","3,048"
9225941a-31a9-4721-825b-b2f364c4a68f,"1,665","3,013"
fd15ca40-6ebf-40d7-bd89-537f2459855d,"1,636","2,837"
5fc11b86-7bcd-48cb-9990-79e9ff1c66dd,"1,665","3,013"
6a6586ae-1b4a-4655-a54c-618eda3bbe39,"1,713","2,643"
3b9061cc-708e-478b-ae07-96ca41353788,"1,665","3,013"
850b3fb0-c773-4aaa-8e9f-fd5975265146,"1,636","2,837"
846835d6-4a19-47f4-8c59-d0089e3a37a0,"1,665","3,013"
fa11ee9a-baa4-4794-8cb9-2714871efad6,"1,617","2,185"
f669146f-16e7-4d0a-969d-45ff0ba44ff3,"1,636","2,837"
22aae4e0-e280-436e-8f03-de99f6d5692c,"1,665","3,013"
68caedfe-015a-4e63-a525-d705869ced87,"1,636","2,837"
1b2ea5b3-bf55-424a-8a18-fe89987c50f6,"1,617","2,185"
4591cbd5-7b8b-4bed-ba57-60c820ce17c0,"1,617","2,185"
a0e98cfc-5354-43b9-8089-d2c9adcbd7f9,"1,713","2,643"
9c9fd2aa-c928-4cf5-a8d1-4796744a8c72,"1,617","2,185"
7d8303db-c527-4f36-bbc7-4254764cb03e,"1,765","3,048"
5b51a403-f251-40e6-b710-f4e9c6bfc427,"1,617","2,185"
dbff0a52-dbb4-4162-91bf-cd3154a04182,"1,617","2,185"
d732d863-3663-4007-951a-59f4e5e62327,"1,665","3,013"
f50e4af8-4715-47e6-a7e6-0c2edea7d66b,"1,636","2,837"
ea4361df-2a00-45d7-8008-60694798f2ae,"1,665","3,013"
f231ec37-a1f9-446b-8f7d-87bbde90e18c,"1,715","2,608"
6b3858bc-7b2e-4bfe-8f24-67639bdd9016,"1,665","3,013"
75aa2590-9dd4-4477-bb0a-b90cc2c5eadf,"1,617","2,185"
3f73372e-f509-4495-9929-d98eecb471b0,"1,706","2,149"
8bb881ce-120f-4dc7-87f2-5e6807485206,"1,706","2,149"
42cdc066-cf26-4989-a7b4-f181b83b5e0a,"1,636","2,837"
d231a873-c6a9-4474-9cfa-b85fb3aa8991,"1,624","2,537"
49fd562f-fe46-4d68-afe4-bdd4eec437de,"1,706","2,149"
54f25982-2554-4b61-aadf-7d1ee633fb78,"1,706","2,149"
13698847-1b7d-42f3-9034-e4506163bbcf,"1,636","2,837"
90831a0c-bd35-44db-a646-7421d638546e,"1,706","2,149"
0eff510b-8ee4-496d-ad36-89935824ee83,"1,706","2,149"
b4aab4f7-992d-4ac8-a476-fe968716c219,"1,636","2,837"
324cfd6f-31c4-4347-98b6-f40c73c3f280,"1,617","2,185"
ec767949-b0d0-4992-bb6e-1ed4f97830d3,"1,617","2,185"
379960df-63a8-47e7-9233-704252c3573e,"1,617","2,185"
672a441b-9505-4b7f-85e4-c25899df7829,"1,713","2,643"
0d1c0481-ef96-476a-8cb3-985e48ec26c6,"1,617","2,185"
c7cd6241-6c9f-4627-8cef-f6bdba1fa444,"1,617","2,185"
bd1209db-fa2c-497c-a3af-7445799c7555,"1,713","2,643"
0bfb70b0-40be-4b44-aecf-7108dbd3cbf0,"1,617","2,185"
7d9f30a8-2bbc-4fba-8947-fa927581909e,"1,636","2,837"
aa7d790d-e3b1-4b20-a977-2effd2fcb9dc,"1,636","2,837"
2cb93075-d79e-44f2-8219-29db3e0022fc,"1,636","2,837"
b1db7cac-23c7-45d7-9a6b-c2d472f8fc9b,"1,765","3,048"
59f496d1-01af-42bf-944b-1b5b9207c689,"1,715","2,608"
f7fdcd28-c547-4b6f-a5f9-95d0e9cf0a0c,"1,636","2,837"
2f17eb67-6ab6-4561-9bd5-0c43fe49d7b6,"1,636","2,837"
d70f0b2f-056d-4f0d-b002-422ea68a7592,"1,636","2,837"
5f32df5b-c60d-42cb-8846-5196eef5eb3e,"1,636","2,837"
e24a410b-317e-4878-9ae4-6ce1e94b732f,"1,636","2,837"
bb09e1e5-d89b-4251-8a70-7a6857761c9e,"1,636","2,837"
e8e3679c-7113-4558-b863-6a29ae86d9f3,"1,617","2,185"
35a7d0d5-3955-4771-8660-c1ff8765a5f2,"1,636","2,837"
1012c6f9-d4dc-48c1-b1a1-814bcb0a2653,"1,765","3,048"
33687bba-34f6-4d13-9a4f-002e0c66fdfe,"1,713","2,643"
1d8183a4-d5c5-43ac-9494-30891d78b766,"1,636","2,837"
d689393c-907e-430d-a3d0-d80a6eb18364,"1,617","2,185"
3b93eeef-3d01-40fe-800b-dfe6809124dd,"1,617","2,185"
c76aab87-d9fa-492f-a8b7-4051786aac59,"1,636","2,837"
3ac8d3c0-5573-4d42-9bd1-02e62a87e046,"1,636","2,837"
3f2ac10f-823b-41de-b264-8cf9d05d2235,"1,617","2,185"
c2aca9ab-60d7-4999-b715-0655a1ae5169,"1,713","2,643"
e3b18af4-5055-41d1-a1d2-6fe6d65017c1,"1,636","2,837"
d5a7a993-a088-4068-990c-64c149249114,"1,665","3,013"
65b721cc-1c9a-4621-909b-1288084fdba2,"1,624","2,537"
ca44959b-d61e-40c8-a2d6-b02e66b0fa53,"1,665","3,013"
d2437002-eac8-41b2-aa0e-51041736d4e3,"1,617","2,185"
e80e24f6-5c9b-47e9-9000-031d94a6fa07,"1,636","2,837"
5fd67eee-692c-4080-af3c-b87f994eba67,"1,713","2,643"
2179207d-53ac-4755-b7cb-532ccc452372,"1,617","2,185"
5ff37e7e-e39b-49ca-9df0-764dfe3c3640,"1,713","2,643"
ee6f0412-4fb0-41f5-ade0-108703551392,"1,636","2,837"
2c650d1e-7cb8-4353-ace1-5c2ca35525d5,"1,636","2,837"
0885fb8c-d555-491d-a526-2a30fa3e2c0b,"1,617","2,185"
195c05b5-4b95-4351-8f06-4e841b8dd1fc,"1,765","3,048"
4f43c8b6-49de-495e-b30c-25b83b698a3b,"1,617","2,185"
257eac78-36e7-4e31-87ef-be19ed7b4f89,"1,636","2,837"
883abcab-689e-484b-bbbf-f8712c51a5e6,"1,636","2,837"
5d5de990-6b58-4ae8-a0e0-698d913a56dd,"1,713","2,643"
29ea3d03-4d6a-480a-8579-a844ca40ad89,"1,636","2,837"
150f12b4-8176-47ca-885d-17e393b7300c,"1,713","2,643"
518be06d-1566-48e7-b653-dd8b69d076b1,"1,713","2,643"
dce93f82-6245-479f-a3ac-5313ba0348f3,"1,636","2,837"
11e41c78-b7fd-41ae-98e0-6f1c324665ab,"1,715","2,608"
e5b68b92-0155-4955-ae58-969311cbbdd9,"1,636","2,837"
ed1306f4-a784-42d0-9617-d2e5ff5adcf2,"1,636","2,837"
1b43e343-437c-43d3-b0fd-f0168202c642,"1,636","2,837"
d0fa9ff8-0f88-4a75-a6f4-c80441446f59,"1,636","2,837"
db99e9b3-4d62-4d2f-aef6-720d961432d8,"1,636","2,837"
de6086b2-77a1-48b5-b3cb-91b633b01c79,"1,765","3,048"
7f01c796-caf2-4008-876e-917533068694,"1,636","2,837"
ff7e1ef7-6770-4212-8522-488f91c44c7d,"1,765","3,048"
e22e41d8-4dcc-4f7b-9ee9-efdda9a1af16,"1,636","2,837"
f562a4f7-b7c7-41ef-a152-449ad640b2ab,"1,713","2,643"
971d9775-4ef6-49b3-be92-22884641e819,"1,715","2,608"
e8227ff3-75f7-4046-82a1-720b51da7e84,"1,715","2,608"
7057d16d-efb4-4d4c-84b6-3d2946be097d,"1,617","2,185"
94b990c0-786e-4e57-966f-06650b36b52f,"1,715","2,608"
c98a4615-af67-490c-b32b-06f81461d889,"1,706","2,149"
d1d54e72-5679-4c21-bd80-632a529d7b1a,"1,617","2,185"
53219fee-6719-4eb4-863a-c0f4782b818a,"1,715","2,608"
5aafc9f9-3b85-4c77-9063-2348f403f764,"1,617","2,185"
723fcba6-25ff-438c-be13-36869ff1f6ee,"1,617","2,185"
8fc864ca-a4d8-4aff-8ac8-1f790ad7a817,"1,715","2,608"
cc63cb30-4c4e-4ccb-9c28-6004d4a5a098,"1,715","2,608"
04e326b4-59cd-4d84-95ed-528e607c35c5,"1,715","2,608"
44efd34a-ba7a-4284-8955-4d5e8b90eb52,"1,715","2,608"
15d5a163-55d1-49e9-a77d-8d1e9fc3b93e,"1,715","2,608"
bceb7236-a109-45e5-8a05-fa3340a9ac23,"1,706","2,149"
089602cf-bc44-4274-b3c3-572277347d36,"1,715","2,608"
77c76d1e-9cee-4638-8691-5674ca18f551,"1,715","2,608"
0c1a8569-ebcd-4d7a-a8c7-00c8270fe18b,"1,665","3,013"
361342be-b49f-4f87-93af-1cfb99461ef6,"1,715","2,608"
f8821e56-3923-453d-95de-fb250528eb76,"1,715","2,608"
c043f230-0c7c-4ef6-8593-986abb895dc1,"1,715","2,608"
7e8a648c-da78-4ec3-96d5-30c7aeac8e2d,"1,765","3,048"
f957c9a0-37f7-4e9c-aa3c-e4cdde30cb26,"1,636","2,837"
820e8df7-7df0-4975-b598-8b6b7c55a228,"1,715","2,608"
c6956325-c716-4977-be75-f45f76907bff,"1,715","2,608"
cc109b4c-e45c-455d-8c45-e2198934e3b2,"1,715","2,608"
b8e053fc-e529-433e-8a6a-8d8baab42fde,"1,715","2,608"
be9e4de3-7ed2-4f59-9047-ff34dac5edeb,"1,715","2,608"
0b4dec4b-201e-4f5f-aed8-16e2945176ab,"1,715","2,608"
b05ad315-7126-4426-b6f3-ac0fcf61a7d1,"1,617","2,185"
8c18af0b-dce8-4981-ab1d-bb1c26bf3fda,"1,715","2,608"
4b13980b-cf16-410b-b06a-14e835c46d1e,"1,636","2,837"
0ec2212c-ee87-4615-a41e-4a72e57286e6,"1,713","2,643"
ff3b571d-e4be-4c4e-bfac-f39cff8d778a,"1,715","2,608"
3fb061c4-c9dc-4a1a-bf90-6c30b85701b3,"1,715","2,608"
da216735-d72b-4f65-9bbf-efff35d09efc,"1,715","2,608"
6193e25c-5c9c-4bda-9c01-3a38fc59e0e6,"1,715","2,608"
4f9e5ebc-6a80-467d-9c20-275dff88ca6d,"1,715","2,608"
d27bbf49-23c9-4f97-b30c-9a56d5563668,"1,715","2,608"
293a22fc-b9ca-40ed-ad37-10f86cea399c,"1,715","2,608"
3fd6fbab-47a9-40a3-b38c-dabaed94779e,"1,715","2,608"
012a3e47-bf40-475c-b72d-0e7acb0ebcd3,"1,715","2,608"
69546c0d-953e-4c4a-aa67-fa9d4d0fe25d,"1,715","2,608"
