150_to_200_roof_top_capacity_distribution,15_to_20_roof_top_capacity_distribution,100_to_150_roof_top_capacity_distribution,roof_space_median,350_to_400_roof_top_capacity_distribution,potential_tree_planet_all_solar,roof_viable_total,250_to_300_roof_top_capacity_distribution,roof_total_est_e_facing,potential_car_taken_off_rode_all_solar,roof_energy_median,roof_solar_viable,600_to_650_roof_top_capacity_distribution,500_to_550_roof_top_capacity_distribution,roof_total_est_flat_roofs,400_to_450_roof_top_capacity_distribution,10_to_15_roof_top_capacity_distribution,950_to_1000_roof_top_capacity_distribution,roof_total_est_n_facing,20_to_25_roof_top_capacity_distribution,roof_total_est_w_facing,750_to_800_roof_top_capacity_distribution,300_to_350_roof_top_capacity_distribution,40_to_45_roof_top_capacity_distribution,potential_co2_saved_all_solar,200_to_250_roof_top_capacity_distribution,650_to_700_roof_top_capacity_distribution,roof_total_est_s_facing,30_to_35_roof_top_capacity_distribution,0_to_5_roof_top_capacity_distribution,threshold_viable_sunroof,roof_space_total,800_to_850_roof_top_capacity_distribution,900_to_950_roof_top_capacity_distribution,450_to_500_roof_top_capacity_distribution,roof_capacity_median,550_to_600_roof_top_capacity_distribution,700_to_750_roof_top_capacity_distribution,25_to_30_roof_top_capacity_distribution,45_to_50_roof_top_capacity_distribution,5_to_10_roof_top_capacity_distribution,35_to_40_roof_top_capacity_distribution,town,zip_code,total_yearl_energy_est_flat_roof,850_to_900_roof_top_capacity_distribution,50_to_100_roof_top_capacity_distribution
8,36,12,986.6286,1,288713,516,4,0.39175,2380,14950.653,0.5633188,1,0,16.80075,1,62,0,0.279,33,0.2055,0,0,9,11259.8125,4,0,0.73175,18,91,962.2,1297328.5,0,0,0,14,2,0,26,19,106,16,new york city,10001,281.17862,0,67
11,67,19,546.16943,2,498835,1275,6,0.41275,4113,8650.991,0.730659,1,2,29.3815,3,162,1,0.038,51,0.24425,0,3,15,19454.602,7,0,0.43325,36,351,962.2,2150128,0,0,0,7.75,0,1,38,11,406,20,new york city,10002,38.72169,0,62
6,80,14,546.16943,0,361048,1315,4,0.49925,2976,8575.982,0.67470497,0,0,20.555,0,165,0,0.298,49,0.25625,0,1,19,14080.879,2,0,0.7955,25,370,962.2,1578887.6,0,0,0,7.75,0,0,32,18,438,14,new york city,10003,299.00983,0,78
4,4,4,3329.8716,0,81349,56,1,0.15975,670,54115.965,0.46666667,0,0,4.291,0,6,1,0.0595,2,0.1885,0,3,0,3172.6162,0,0,0.28875,2,3,962.2,351486.44,0,0,0,47.25,0,0,3,3,5,0,new york city,10004,60.188137,0,15
4,3,4,845.68164,0,73533,106,2,0.13,606,12721.07,0.5273632,0,0,4.29575,0,14,0,0.042,6,0.06875,0,1,2,2867.794,1,0,0.27325,2,25,962.2,338959.78,0,0,0,12,1,0,5,2,20,1,new york city,10007,41.51906,0,13
12,56,19,563.7878,0,342507,952,4,1.349,2824,9009.355,0.7136432,0,0,18.4785,0,133,0,0.3155,41,0.121,0,0,8,13357.801,2,0,0.47225,14,264,962.2,1461355.5,0,0,0,8,0,0,22,12,277,14,new york city,10009,319.19382,0,73
3,36,8,1109.9572,0,204861,382,1,0.15575,1689,16750.555,0.5922481,0,0,11.87725,2,41,0,0.1615,24,0.0695,0,3,4,7989.593,1,0,0.5755,15,60,962.2,904844.1,0,0,0,15.75,0,0,21,7,82,7,new york city,10010,160.89146,0,67
10,74,26,546.16943,0,439955,1324,0,1.4095,3627,8178.6934,0.6215962,0,0,24.12725,1,147,3,0.411,56,0.1415,0,0,16,17158.275,1,0,1.1055,35,408,962.2,1916508.5,0,0,0,7.75,1,0,47,12,379,36,new york city,10011,409.4173,0,72
3,62,10,669.498,0,256600,847,0,0.47225,2115,10445.284,0.6959737,1,0,14.41375,0,152,0,0.13125,41,0.17825,0,2,11,10007.427,1,0,0.51575,17,198,962.2,1107226.4,0,0,0,9.5,0,0,29,13,240,23,new york city,10012,130.06427,0,44
8,93,14,669.498,0,366043,1077,3,0.33,3018,10639.751,0.6912709,1,0,21.6225,0,150,0,0.1615,69,0.214,0,3,19,14275.702,6,0,0.46075,30,257,962.2,1606002.4,0,0,0,9.5,0,0,51,17,283,26,new york city,10013,163.93883,0,47
8,67,7,475.69595,1,383502,1167,3,0.4665,3162,7344.199,0.6217368,0,0,21.25025,0,117,0,0.35325,36,0.29875,0,4,17,14956.581,7,2,0.82525,30,420,962.2,1634561.8,0,0,0,6.75,0,0,27,10,340,15,new york city,10014,354.80414,0,55
9,62,10,634.2612,0,265468,694,6,0.2245,2188,9897.839,0.51636904,0,0,16.036,0,84,0,0.09775,28,0.1225,0,0,13,10353.273,5,0,0.46675,20,181,962.2,1194349.1,0,0,1,9,0,0,21,12,177,10,new york city,10016,95.03923,0,55
4,15,4,1092.3389,0,108761,156,1,0.1965,896,16289.049,0.4073107,0,0,6.578,0,14,0,0.02,7,0.0605,1,1,4,4241.715,3,0,0.13225,9,28,962.2,492415.78,1,0,0,15.5,0,0,11,1,31,7,new york city,10017,19.664995,0,14
4,23,6,828.0633,1,193902,297,0,0.1515,1598,12331.589,0.49417636,4,1,9.98625,0,41,1,0.44175,20,0.175,0,0,9,7562.1934,0,0,1.11,8,59,962.2,836132.5,0,0,0,11.75,0,0,17,5,69,4,new york city,10018,467.5907,0,24
