Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.21292364709,9.07266780923,0.0,8.6148021249,0.0,0.237193800222,0.237193800222,0.237193800222,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.01887246969,8.92491572898,0.0,8.57541667909,0.0,0.236109389526,0.236109389526,0.236109389526,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,0.948640455443,9.06720709453,0.0,8.74743796406,0.0,0.240845700554,0.240845700554,0.240845700554,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,0.9372078736,9.26649616657,0.0,8.93878351247,0.0,0.246114072029,0.246114072029,0.246114072029,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,0.931117923803,9.265683014,0.0,8.85247640414,0.0,0.243737753837,0.243737753837,0.243737753837,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,0.994937278365,9.49560493757,0.0,8.70772161791,0.0,0.239752179085,0.239752179085,0.239752179085,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.30579925262,9.87380932033,0.0,8.38374297159,0.0,0.230831982753,0.230831982753,0.230831982753,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.76716662541,8.85967498823,0.0,7.16536583301,0.0,0.197286058028,0.197286058028,0.197286058028,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.66358325299,7.68805241356,0.0,6.03733422406,0.0,0.166227642499,0.166227642499,0.166227642499,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.38024302169,7.46198828451,0.0,5.96492415898,0.0,0.164233955556,0.164233955556,0.164233955556,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.35047276768,6.89365233675,0.0,5.57851702103,0.0,0.153594897786,0.153594897786,0.153594897786,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.34620104317,5.81170377606,0.0,4.66336042903,0.0,0.128397630721,0.128397630721,0.128397630721,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.30896861615,5.16876683857,0.0,4.14866812379,0.0,0.114226460907,0.114226460907,0.114226460907,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.27574455004,4.95300123681,0.0,4.01160381858,0.0,0.110452630359,0.110452630359,0.110452630359,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.28996518594,5.2520913583,0.0,4.38431832853,0.0,0.120714685103,0.120714685103,0.120714685103,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.41250728116,5.98477843644,0.0,5.10780004068,0.0,0.140634513116,0.140634513116,0.140634513116,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.80382165139,6.6202897965,0.0,5.64178249903,0.0,0.155336804209,0.155336804209,0.155336804209,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.56174105416,8.4426446653,0.0,7.26684854687,0.0,0.200080210489,0.200080210489,0.200080210489,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.10182859293,8.60962985225,0.0,7.24409051472,0.0,0.199453607109,0.199453607109,0.199453607109,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.10844514383,9.22412348991,0.0,7.81853070177,0.0,0.215269832367,0.215269832367,0.215269832367,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.88806972136,9.95591061823,0.0,8.65018775947,0.0,0.238168082976,0.238168082976,0.238168082976,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.6504292487,10.8092825645,0.0,9.64123138155,0.0,0.265454769251,0.265454769251,0.265454769251,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.2119605452,11.8383197263,0.0,10.8880424738,0.0,0.29978357412,0.29978357412,0.29978357412,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.7516716536,11.9197518271,0.0,11.2098517794,0.0,0.308644041375,0.308644041375,0.308644041375,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.30504455138,12.6770399508,0.0,12.2391499636,0.0,0.336984001405,0.336984001405,0.336984001405,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.13399769141,13.2615582041,0.0,12.9239745818,0.0,0.355839472642,0.355839472642,0.355839472642,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.09274954021,14.402065697,0.0,14.0920792145,0.0,0.388001230144,0.388001230144,0.388001230144,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.0850419425,14.6829126182,0.0,14.3659253017,0.0,0.395541112451,0.395541112451,0.395541112451,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.10104297529,15.5313617846,0.0,15.1372840857,0.0,0.416779153516,0.416779153516,0.416779153516,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.17748465862,16.250056993,0.0,15.5113724143,0.0,0.427079034002,0.427079034002,0.427079034002,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.52863187271,18.3088062389,0.0,16.9271860378,0.0,0.466061033691,0.466061033691,0.466061033691,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.97854414947,17.3007167542,0.0,15.7391986098,0.0,0.433351837521,0.433351837521,0.433351837521,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.85202850551,15.7674485254,0.0,14.2560691778,0.0,0.392516412506,0.392516412506,0.392516412506,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.50033462815,13.6028744429,0.0,12.2347115258,0.0,0.336861796631,0.336861796631,0.336861796631,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.46677960948,13.163630239,0.0,11.9602150447,0.0,0.329304006846,0.329304006846,0.329304006846,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.42578602757,10.8329397206,0.0,9.77796522161,0.0,0.269219501009,0.269219501009,0.269219501009,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.38682243703,9.94078347448,0.0,9.00216619063,0.0,0.247859205357,0.247859205357,0.247859205357,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.35309844316,9.53791674944,0.0,8.66802598442,0.0,0.238659227903,0.238659227903,0.238659227903,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.36640305298,9.62126433561,0.0,8.81838308825,0.0,0.242799052862,0.242799052862,0.242799052862,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.47841583694,9.88483812292,0.0,9.07187569816,0.0,0.24977853708,0.24977853708,0.24977853708,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
