Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.874964367909,6.05941509225,0.0,5.59943222208,0.0,0.154170761973,0.154170761973,0.154170761973,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.431473380583
 01/01  02:00:00,0.759375201086,6.54600334622,0.0,6.18004806456,0.0,0.170157023311,0.170157023311,0.170157023311,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.339705551453
 01/01  03:00:00,0.720098498232,6.94809615365,0.0,6.60881124137,0.0,0.181962281961,0.181962281961,0.181962281961,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313339526776
 01/01  04:00:00,0.719474209596,7.42774735493,0.0,7.08198844636,0.0,0.194990404697,0.194990404697,0.194990404697,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.320178736703
 01/01  05:00:00,0.730374898152,7.97565036147,0.0,7.55717275918,0.0,0.208073789705,0.208073789705,0.208073789705,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393863724844
 01/01  06:00:00,0.793692483216,8.5736075292,0.0,7.83457052455,0.0,0.215711461376,0.215711461376,0.215711461376,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.71156989566
 01/01  07:00:00,1.03864470906,9.75798376246,0.0,8.41795757249,0.0,0.231774023104,0.231774023104,0.231774023104,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30829064659
 01/01  08:00:00,1.35054801081,9.3174367075,0.0,7.8028448918,0.0,0.214837950495,0.214837950495,0.214837950495,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48087042316
 01/01  09:00:00,1.31752919756,9.33353801188,0.0,7.85701419055,0.0,0.216329409223,0.216329409223,0.216329409223,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44801433175
 01/01  10:00:00,1.1524606482,9.3133451404,0.0,7.96803448792,0.0,0.219386162687,0.219386162687,0.219386162687,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32104677143
 01/01  11:00:00,1.18550473757,10.4948497148,0.0,9.30586896114,0.0,0.256221140226,0.256221140226,0.256221140226,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16414622634
 01/01  12:00:00,1.16918927929,9.10696282194,0.0,8.0622265712,0.0,0.22197958014,0.22197958014,0.22197958014,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01989411477
 01/01  13:00:00,1.13088049626,8.33312609134,0.0,7.3982603863,0.0,0.203698410087,0.203698410087,0.203698410087,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.91044204303
 01/01  14:00:00,1.09952774406,8.06984527948,0.0,7.20236045675,0.0,0.198304641539,0.198304641539,0.198304641539,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842216604179
