Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.23140795948,9.72473160262,0.0,9.26652786682,0.0,0.255678112612,0.255678112612,0.255678112612,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.05637522539,10.2629656626,0.0,9.91418955297,0.0,0.273612145222,0.273612145222,0.273612145222,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,0.999356994099,10.8820087148,0.0,10.5634019072,0.0,0.29156223921,0.29156223921,0.29156223921,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.00497663327,11.6963726181,0.0,11.3702536332,0.0,0.313882831697,0.313882831697,0.313882831697,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.02505343878,12.6404989789,0.0,12.2293805906,0.0,0.337673268814,0.337673268814,0.337673268814,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.10412883232,13.4214221876,0.0,12.6359578287,0.0,0.348943733038,0.348943733038,0.348943733038,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.45301466203,15.1741782706,0.0,13.6873317997,0.0,0.378047392158,0.378047392158,0.378047392158,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.91594141005,14.2171089425,0.0,12.5264244978,0.0,0.346060842669,0.346060842669,0.346060842669,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.84834319776,14.3503082102,0.0,12.7038857697,0.0,0.350987587264,0.350987587264,0.350987587264,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.56677204938,14.1870850065,0.0,12.6947237775,0.0,0.350762983243,0.350762983243,0.350762983243,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.5582014969,14.3862027943,0.0,13.0759759417,0.0,0.361323627014,0.361323627014,0.361323627014,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.54667518951,13.0450879343,0.0,11.901561349,0.0,0.328871777066,0.328871777066,0.328871777066,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.48880555644,11.6594801465,0.0,10.6437864487,0.0,0.294063401192,0.294063401192,0.294063401192,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.45373509312,11.3784285003,0.0,10.4414786414,0.0,0.288443173435,0.288443173435,0.288443173435,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.44465555854,10.8344998751,0.0,9.97057241818,0.0,0.275405057709,0.275405057709,0.275405057709,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.52577048368,10.0672951708,0.0,9.19328128726,0.0,0.253897715636,0.253897715636,0.253897715636,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.88962857049,9.70861844115,0.0,8.7323009002,0.0,0.241143723307,0.241143723307,0.241143723307,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.59717869792,9.70371131787,0.0,8.52904212761,0.0,0.235517854253,0.235517854253,0.235517854253,0.842191296402,0.191912153986,0.578065905983,0.726091487301
