Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.475979518947,2.2657254412,0.0,1.96893563556,0.0,0.0385734004989,0.0385734004989,0.0385734004989,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.42466284279,2.51151703365,0.0,2.28738073419,0.0,0.0448120555897,0.0448120555897,0.0448120555897,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.410699260359,2.66832577369,0.0,2.4683694362,0.0,0.0483578036387,0.0483578036387,0.0483578036387,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.408593999975,2.83758197811,0.0,2.6314107474,0.0,0.0515519445142,0.0515519445142,0.0515519445142,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.401965931491,3.08075510715,0.0,2.81016757148,0.0,0.0550539678626,0.0550539678626,0.0550539678626,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.437195651898,3.42382599644,0.0,2.88514351037,0.0,0.0565228208135,0.0565228208135,0.0565228208135,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.541325301263,4.49325183209,0.0,3.4398256447,0.0,0.0673895935667,0.0673895935667,0.0673895935667,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.662306493921,4.75638886347,0.0,3.55252166155,0.0,0.0695974202291,0.0695974202291,0.0695974202291,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.581851532219,4.18152054158,0.0,3.03707153031,0.0,0.0594992412991,0.0594992412991,0.0594992412991,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.471485842315,4.04723360864,0.0,3.02441965137,0.0,0.0592513784515,0.0592513784515,0.0592513784515,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.460238783232,3.83399814766,0.0,2.94829935414,0.0,0.0577601063864,0.0577601063864,0.0577601063864,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.458086801466,3.67382093887,0.0,2.87951513321,0.0,0.0564125553268,0.0564125553268,0.0564125553268,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.450942179077,3.41412862505,0.0,2.68624521035,0.0,0.0526262059895,0.0526262059895,0.0526262059895,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.456821674334,3.26264461053,0.0,2.60712376765,0.0,0.0510761385102,0.0510761385102,0.0510761385102,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.470570973755,3.11666020493,0.0,2.50704953868,0.0,0.049115585182,0.049115585182,0.049115585182,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
