Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.0921024103,9.47872470783,0.0,9.45075732945,0.0,0.230477723528,0.230477723528,0.230477723528,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.902240957725,9.38622168381,0.0,9.36047109523,0.0,0.228275893029,0.228275893029,0.228275893029,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.835167196638,9.34338544779,0.0,9.31793341676,0.0,0.227238517192,0.227238517192,0.227238517192,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417313752
 01/01  04:00:00,0.822456659094,9.18620031356,0.0,9.16110655159,0.0,0.223413945508,0.223413945508,0.223413945508,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072365958
 01/01  05:00:00,0.872754141104,9.31577834783,0.0,9.29163250608,0.0,0.226597111026,0.226597111026,0.226597111026,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137178352
 01/01  06:00:00,1.13739428371,9.2468557044,0.0,9.21991088563,0.0,0.224848019897,0.224848019897,0.224848019897,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.34663509472
 01/01  07:00:00,1.74395804849,8.73097976208,0.0,8.69984767369,0.0,0.212165122538,0.212165122538,0.212165122538,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.74338525252
 01/01  08:00:00,2.18162617496,8.98409811044,0.0,8.95101793405,0.0,0.218290467608,0.218290467608,0.218290467608,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.85626225557
 01/01  09:00:00,2.10373580245,8.0495273884,0.0,8.02156001003,0.0,0.19562357024,0.19562357024,0.19562357024,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.8419688113,7.31711296905,0.0,7.29331046848,0.0,0.1778635865,0.1778635865,0.1778635865,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.74790616455,7.79712455702,0.0,7.77276226105,0.0,0.190615555037,0.190615555037,0.190615555037,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.64477940615,6.7388018678,0.0,6.71443210789,0.0,0.164257087159,0.164257087159,0.164257087159,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.53782806008,6.15573430743,0.0,6.13177506414,0.0,0.149733686374,0.149733686374,0.149733686374,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.47850415894,6.58120408914,0.0,6.55641634866,0.0,0.161424362616,0.161424362616,0.161424362616,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995965
 01/01  15:00:00,1.437873134,6.7173820124,0.0,6.69119851538,0.0,0.164809223699,0.164809223699,0.164809223699,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516442384
 01/01  16:00:00,1.51807384344,7.01462760849,0.0,6.98698864342,0.0,0.171912859187,0.171912859187,0.171912859187,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328056111
 01/01  17:00:00,1.84275038941,7.60144280974,0.0,7.56875075816,0.0,0.186325430403,0.186325430403,0.186325430403,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888499
 01/01  18:00:00,2.47381636217,9.56764052097,0.0,9.52792490306,0.0,0.235074328523,0.235074328523,0.235074328523,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680403063
 01/01  19:00:00,2.87841978505,8.38512741725,0.0,8.34200824328,0.0,0.204245776704,0.204245776704,0.204245776704,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127809596
 01/01  20:00:00,2.87083364265,8.74274493211,0.0,8.69823746553,0.0,0.212125854033,0.212125854033,0.212125854033,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670164
 01/01  21:00:00,2.67638701076,9.28594543689,0.0,9.23990786288,0.0,0.225335690634,0.225335690634,0.225335690634,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747948
 01/01  22:00:00,2.43471938034,9.34070362973,0.0,9.29574086289,0.0,0.226697302439,0.226697302439,0.226697302439,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411881
 01/01  23:00:00,2.01684960445,10.1740544514,0.0,10.1351449389,0.0,0.247168036562,0.247168036562,0.247168036562,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614241
 01/01  24:00:00,1.57976365134,10.8225159252,0.0,10.7887042828,0.0,0.263106533819,0.263106533819,0.263106533819,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,1.11996328464,11.3239016649,0.0,11.2959342865,0.0,0.275476464873,0.275476464873,0.275476464873,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.945510506221,11.5503149315,0.0,11.5245643429,0.0,0.28105211697,0.28105211697,0.28105211697,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247587757
 01/02  03:00:00,0.887168925669,11.7500497908,0.0,11.7245977598,0.0,0.285930376452,0.285930376452,0.285930376452,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628395739
 01/02  04:00:00,0.880208848415,11.7898723893,0.0,11.7647786274,0.0,0.286910276217,0.286910276217,0.286910276217,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284993808
 01/02  05:00:00,0.926833641252,12.0100218415,0.0,11.9858759997,0.0,0.292302227071,0.292302227071,0.292302227071,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.12618271807
 01/02  06:00:00,1.17390317216,11.9682059988,0.0,11.94126118,0.0,0.291214195529,0.291214195529,0.291214195529,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500136
 01/02  07:00:00,1.74877847438,11.7868441146,0.0,11.7557120262,0.0,0.286689166995,0.286689166995,0.286689166995,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,2.14762112758,11.4067341283,0.0,11.3736539519,0.0,0.277371831659,0.277371831659,0.277371831659,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,2.06326733793,10.8066109174,0.0,10.778643539,0.0,0.26286118022,0.26286118022,0.26286118022,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.79759420939,10.1894772368,0.0,10.1656747362,0.0,0.247912573528,0.247912573528,0.247912573528,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.7168535536,11.0995155319,0.0,11.075153236,0.0,0.270092228228,0.270092228228,0.270092228228,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345392877
 01/02  12:00:00,1.58603574074,8.53212261489,0.0,8.50775285498,0.0,0.207480463417,0.207480463417,0.207480463417,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.49878787618
 01/02  13:00:00,1.47859288848,7.45497441438,0.0,7.4310151711,0.0,0.181221821748,0.181221821748,0.181221821748,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837364394
 01/02  14:00:00,1.411131024,7.18033095121,0.0,7.15554321073,0.0,0.174849523518,0.174849523518,0.174849523518,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717732635
 01/02  15:00:00,1.37907460208,7.30817962674,0.0,7.28199612972,0.0,0.178825406187,0.178825406187,0.178825406187,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.354827300156
 01/02  16:00:00,1.45489209635,7.32923148719,0.0,7.30159252212,0.0,0.179288167818,0.179288167818,0.179288167818,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.359829973247
 01/02  17:00:00,1.76084141439,7.43725581283,0.0,7.40456376125,0.0,0.181460216272,0.181460216272,0.181460216272,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406789046861
 01/02  18:00:00,2.37410546867,8.99152833283,0.0,8.95181271491,0.0,0.220141820189,0.220141820189,0.220141820189,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507253948112
 01/02  19:00:00,2.75809310207,7.48341887122,0.0,7.44029969725,0.0,0.182377746362,0.182377746362,0.182377746362,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.599979472504
 01/02  20:00:00,2.72691520763,7.19173068294,0.0,7.14722321637,0.0,0.174300924152,0.174300924152,0.174300924152,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060919222
 01/02  21:00:00,2.52380616123,7.26548226355,0.0,7.21944468954,0.0,0.176062205301,0.176062205301,0.176062205301,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046754076
 01/02  22:00:00,2.29635734202,7.48067930559,0.0,7.43571653876,0.0,0.181336475048,0.181336475048,0.181336475048,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.49306005842
 01/02  23:00:00,1.88240804813,7.6719221361,0.0,7.63301262356,0.0,0.186147978603,0.186147978603,0.186147978603,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242327809
 01/02  24:00:00,1.4646474352,7.89133852328,0.0,7.85752688089,0.0,0.191623257792,0.191623257792,0.191623257792,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777710762
 01/03  01:00:00,1.04664391931,8.30823858359,0.0,8.28027120521,0.0,0.201932817768,0.201932817768,0.201932817768,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463563371
 01/03  02:00:00,0.866732795688,8.31363536144,0.0,8.28788477287,0.0,0.202162311663,0.202162311663,0.202162311663,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368535507
 01/03  03:00:00,0.796696511335,8.03698000455,0.0,8.01152797353,0.0,0.195378916732,0.195378916732,0.195378916732,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0774418849604
 01/03  04:00:00,0.786172179337,7.92069201013,0.0,7.89559824816,0.0,0.192785358584,0.192785358584,0.192785358584,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.081816747935
 01/03  05:00:00,0.821747766992,7.65596148055,0.0,7.6318156388,0.0,0.187036397244,0.187036397244,0.187036397244,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126362673637
 01/03  06:00:00,1.05845933181,7.15596591607,0.0,7.1290210973,0.0,0.175201510444,0.175201510444,0.175201510444,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.321443344876
 01/03  07:00:00,1.63108136564,6.83220984159,0.0,6.8010777532,0.0,0.167692858707,0.167692858707,0.167692858707,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.685606345722
