Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.54306969194,15.1084553215,0.0,15.0739131072,0.0,0.416482225385,0.416482225385,0.416482225385,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.176601622663
 01/01  02:00:00,1.27435109464,14.6765010767,0.0,14.6446967961,0.0,0.404545860544,0.404545860544,0.404545860544,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.105900917206
 01/01  03:00:00,1.18378163502,14.7213277305,0.0,14.6898921952,0.0,0.405718553968,0.405718553968,0.405718553968,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.086596061294
 01/01  04:00:00,1.16552859572,14.4627279268,0.0,14.4317348858,0.0,0.398528326066,0.398528326066,0.398528326066,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0920983220589
 01/01  05:00:00,1.23828758286,15.1474222834,0.0,15.1176000086,0.0,0.417438129714,0.417438129714,0.417438129714,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.149301618244
 01/01  06:00:00,1.55274159516,15.1856502752,0.0,15.1523710135,0.0,0.418388901326,0.418388901326,0.418388901326,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.3960615012
 01/01  07:00:00,2.29911167165,14.21869432,0.0,14.1802434056,0.0,0.391529958185,0.391529958185,0.391529958185,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.858954307149
 01/01  08:00:00,2.90711834138,14.100510433,0.0,14.0596534557,0.0,0.388169658401,0.388169658401,0.388169658401,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.990653612765
 01/01  09:00:00,2.7873160993,13.2382934729,0.0,13.2037512585,0.0,0.364517857186,0.364517857186,0.364517857186,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.963880091756
 01/01  10:00:00,2.40051294403,12.5019985188,0.0,12.4726003012,0.0,0.344302764129,0.344302764129,0.344302764129,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.863761075221
