Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.598862426527,3.06563002536,0.0,3.02943485007,0.0,0.052568107403,0.052568107403,0.052568107403,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953214
 01/01  02:00:00,0.495187094722,3.04631604733,0.0,3.01181761969,0.0,0.0522624053482,0.0522624053482,0.0522624053482,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638586
 01/01  03:00:00,0.467682895435,3.06497837589,0.0,3.03811329155,0.0,0.052718699598,0.052718699598,0.052718699598,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442491484
 01/01  04:00:00,0.466416705595,3.04678084347,0.0,3.02018998098,0.0,0.0524076863029,0.0524076863029,0.0524076863029,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418860356
 01/01  05:00:00,0.496343345513,3.14371289234,0.0,3.11044275005,0.0,0.0539737926867,0.0539737926867,0.0539737926867,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009247778
 01/01  06:00:00,0.701491932905,3.13271999349,0.0,3.08992358554,0.0,0.0536177349739,0.0536177349739,0.0536177349739,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992824
 01/01  07:00:00,1.10931796096,2.93373705705,0.0,2.85813729852,0.0,0.0495956757339,0.0495956757339,0.0495956757339,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273742
 01/01  08:00:00,1.29673821323,2.83292736979,0.0,2.71885423969,0.0,0.0471787738501,0.0471787738501,0.0471787738501,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.18039548202,2.5477774985,0.0,2.43023383512,0.0,0.0421705036028,0.0421705036028,0.0421705036028,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.986089582057,2.2352129284,0.0,2.11640164835,0.0,0.0367247472432,0.0367247472432,0.0367247472432,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
