Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,2.08513360617,0.0,1.24917867099,0.0,0.0392844673323,1.28846313832,0.0392844673323,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171688171
 01/01  02:00:00,2.27443690995,0.0,1.58717962439,0.0,0.0497048739676,1.63688449836,0.0497048739676,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796304
 01/01  03:00:00,2.54232316678,0.0,1.90158409222,0.0,0.0592643751794,1.9608484674,0.0592643751794,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437638157
 01/01  04:00:00,2.8078788111,0.0,2.16917768506,0.0,0.0673469445949,2.23652462966,0.0673469445949,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684924835
 01/01  05:00:00,3.03052016594,0.0,2.35199583615,0.0,0.0727891978401,2.42478503399,0.0727891978401,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599349
 01/01  06:00:00,3.39183561668,0.0,2.49584624401,0.0,0.0769991138867,2.57284535789,0.0769991138867,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561037488
 01/01  07:00:00,3.77457566505,0.0,2.38077422512,0.0,0.0733569001638,2.45413112529,0.0733569001638,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069815382
 01/01  08:00:00,4.10889144817,0.0,2.33389496979,0.0,0.0715075908398,2.40540256063,0.0715075908398,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774312
 01/01  09:00:00,3.32340508391,0.0,1.63385023246,0.0,0.0497511351733,1.68360136763,0.0497511351733,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,2.41396811933,0.0,0.939867955841,0.0,0.0285851835391,0.96845313938,0.0285851835391,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744043615
 01/01  11:00:00,2.37299365188,0.0,0.973023405278,0.0,0.0299015720264,1.0029249773,0.0299015720264,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273991182
 01/01  12:00:00,1.51222931928,0.0,0.188647638332,0.0,0.0057512471208,0.194398885452,0.0057512471208,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111881235
 01/01  13:00:00,1.24387775195,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359064019384
 01/01  14:00:00,1.18485403723,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326247106818
 01/01  15:00:00,1.15052123649,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.294887279701
 01/01  16:00:00,1.21592300523,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.298751284242
 01/01  17:00:00,1.48932684478,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.339421946893
 01/01  18:00:00,1.99739275921,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422459632132
 01/01  19:00:00,2.3565010788,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.504732798859
