Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,5.72719624695,0.0,4.52683490676,0.0,0.156843736705,4.68367864347,0.156843736705,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.157650939709
 01/01  02:00:00,5.96727282367,0.0,4.96722480515,0.0,0.17218379637,5.13940860152,0.17218379637,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.105002166303
 01/01  03:00:00,6.47059953016,0.0,5.52767923592,0.0,0.191669916728,5.71934915264,0.191669916728,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0917608852599
 01/01  04:00:00,6.97362320153,0.0,6.02557504008,0.0,0.208975332891,6.23455037297,0.208975332891,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0960472494543
 01/01  05:00:00,7.30363122327,0.0,6.30585741639,0.0,0.218768370492,6.52462578688,0.218768370492,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.139066320087
 01/01  06:00:00,7.92982667819,0.0,6.66820778978,0.0,0.231397471978,6.89960526175,0.231397471978,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.324329247187
 01/01  07:00:00,8.40658304966,0.0,6.52391622898,0.0,0.226408093722,6.7503243227,0.226408093722,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.670398940375
 01/01  08:00:00,9.51750324485,0.0,7.09425761447,0.0,0.24629656885,7.34055418332,0.24629656885,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.765854117803
 01/01  09:00:00,6.61655209371,0.0,4.37409251199,0.0,0.152145180094,4.52623769209,0.152145180094,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.742662564986
 01/01  10:00:00,4.64694020927,0.0,2.75624124582,0.0,0.0959641448762,2.8522053907,0.0959641448762,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.662983788799
