Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.500145111807,0.0353437826845,0.0,0.0,0.0,0.0,0.0,0.051298941822,0.00853938354461,0.0389770129118,0.299196969621,0.0923378039084
 01/01  02:00:00,0.413835537172,0.033714519307,0.0,0.0,0.0,0.0,0.0,0.0299243937853,0.00498130633154,0.0366038093052,0.275481597329,0.0570494304214
 01/01  03:00:00,0.390597858681,0.0260902648037,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0345384536427,0.272287607795,0.0490441573985
 01/01  04:00:00,0.407948914925,0.0258269495104,0.0186450853575,0.0,0.000340243446158,0.0189853288037,0.000340243446158,0.0213745639571,0.003558075888,0.0332769556732,0.268454820353,0.0525041702493
 01/01  05:00:00,0.537641252603,0.0325350862223,0.127252234932,0.0,0.00232215289522,0.129574387828,0.00232215289522,0.0213745639571,0.003558075888,0.0338304829616,0.258313903582,0.0811948383862
 01/01  06:00:00,0.793051670497,0.0419761444586,0.21970690974,0.0,0.00400930511614,0.223716214856,0.00400930511614,0.0213745639571,0.003558075888,0.0360452309657,0.288257555466,0.210305029364
 01/01  07:00:00,1.04183285524,0.074652024733,0.145421901674,0.0,0.00265372070032,0.148075622375,0.00265372070032,0.0491615002853,0.00818357405654,0.0428581977933,0.333053258684,0.450705702049
 01/01  08:00:00,1.18818844578,0.113066091931,0.131829754502,0.0,0.00240568541885,0.13423543992,0.00240568541885,0.100460442107,0.0167229531842,0.0522011846794,0.353894040395,0.505879385494
 01/01  09:00:00,0.955810976928,0.116692270773,0.0,0.0,0.0,0.0,0.0,0.0961855325,0.016011338625,0.0605081669804,0.299196969621,0.474113969202
 01/01  10:00:00,0.797476485711,0.118086676095,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0637657254319,0.254640815618,0.411929870319
 01/01  11:00:00,0.726234497232,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0597797549385,0.260629545995,0.348658170291
 01/01  12:00:00,0.672221696367,0.121452971462,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0588912012469,0.260709395733,0.295454073379
 01/01  13:00:00,0.628419091209,0.135939988621,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0601596923813,0.256317660123,0.254774712695
 01/01  14:00:00,0.610197279255,0.114355347545,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0582516037592,0.265180981081,0.229597668406
 01/01  15:00:00,0.603247955601,0.110946652021,0.0,0.0,0.0,0.0,0.0,0.0427491226073,0.00711615000923,0.0552107169154,0.280112882153,0.208264083916
 01/01  16:00:00,0.638822115397,0.138644456113,0.0,0.0,0.0,0.0,0.0,0.0534364098927,0.00889518861577,0.0576101118494,0.295683581133,0.213401823907
 01/01  17:00:00,0.777598420935,0.216322879477,0.0,0.0,0.0,0.0,0.0,0.089773154822,0.0149439189946,0.0671024077954,0.349741854,0.246242085323
 01/01  18:00:00,1.02736233712,0.342786031824,0.0,0.0,0.0,0.0,0.0,0.166721580822,0.0277529898946,0.08424901191,0.424880457793,0.313963296695
 01/01  19:00:00,1.25069068015,0.275778392135,0.0,0.0,0.0,0.0,0.0,0.247944942963,0.0412736753538,0.0852833183682,0.461291938484,0.375101804985
 01/01  20:00:00,1.25475721214,0.158447042932,0.0,0.0,0.0,0.0,0.0,0.262907113322,0.0437643285196,0.076857507091,0.476143989818,0.385289273386
 01/01  21:00:00,1.1859185218,0.107800595774,0.0,0.0,0.0,0.0,0.0,0.226570368393,0.0377156025577,0.0671599615243,0.492513186181,0.35216440314
 01/01  22:00:00,1.0812222609,0.0848170922024,0.0,0.0,0.0,0.0,0.0,0.190233623463,0.0316668721788,0.0600180686125,0.481014823858,0.308493872793
 01/01  23:00:00,0.890048014127,0.0611239826866,0.0,0.0,0.0,0.0,0.0,0.143209591249,0.0238391076104,0.0513238084703,0.416256686051,0.245623820747
 01/01  24:00:00,0.703608604716,0.047023020914,0.0,0.0,0.0,0.0,0.0,0.0983229740367,0.0163671481131,0.0442136254855,0.361719314753,0.173190542327
 01/02  01:00:00,0.494065739308,0.0353437826845,0.0,0.0,0.0,0.0,0.0,0.051298941822,0.00853938354461,0.0386485741458,0.299196969621,0.0865868701748
 01/02  02:00:00,0.410842501657,0.033714519307,0.0,0.0,0.0,0.0,0.0,0.0299243937853,0.00498130633154,0.0364037809873,0.275481597329,0.0542564232237
 01/02  03:00:00,0.388247853842,0.0260902648037,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0344190020612,0.272287607795,0.0468136041414
 01/02  04:00:00,0.386281283862,0.0258269495104,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0331770229889,0.268454820353,0.0499218006747
 01/02  05:00:00,0.485405884782,0.0325350862223,0.08094743743,0.0,0.00147716325995,0.08242460069,0.00147716325995,0.0213745639571,0.003558075888,0.0336696072551,0.258313903582,0.0762701334096
 01/02  06:00:00,0.762338137858,0.0419761444586,0.204647421626,0.0,0.0037344931732,0.208381914799,0.0037344931732,0.0213745639571,0.003558075888,0.0357451070141,0.288257555466,0.195225920734
 01/02  07:00:00,1.00367748397,0.074652024733,0.142835987112,0.0,0.00260653183176,0.145442518944,0.00260653183176,0.0491615002853,0.00818357405654,0.0422578350732,0.333053258684,0.415783796932
 01/02  08:00:00,1.09757262399,0.113066091931,0.0836519634944,0.0,0.00152651660164,0.0851784800961,0.00152651660164,0.100460442107,0.0167229531842,0.0510568111019,0.353894040395,0.465464897104
 01/02  09:00:00,0.914272175954,0.116692270773,0.0,0.0,0.0,0.0,0.0,0.0961855325,0.016011338625,0.0586542613656,0.299196969621,0.434429073843
 01/02  10:00:00,0.761070918182,0.118086676095,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0616202140166,0.254640815618,0.377669814206
 01/02  11:00:00,0.695993464238,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0577626539713,0.260629545995,0.320434238263
 01/02  12:00:00,0.647749797571,0.121452971462,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0571243967723,0.260709395733,0.272748979057
 01/02  13:00:00,0.607662021332,0.135939988621,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0585931939908,0.256317660123,0.235584141209
 01/02  14:00:00,0.592691264255,0.114355347545,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0567480421383,0.265180981081,0.213595215027
 01/02  15:00:00,0.587202914655,0.110946652021,0.0,0.0,0.0,0.0,0.0,0.0427491226073,0.00711615000923,0.0539269802759,0.280112882153,0.193502779609
 01/02  16:00:00,0.622450606161,0.138644456113,0.0,0.0,0.0,0.0,0.0,0.0534364098927,0.00889518861577,0.0564069519463,0.295683581133,0.198233474574
 01/02  17:00:00,0.756726529025,0.216322879477,0.0,0.0,0.0,0.0,0.0,0.089773154822,0.0149439189946,0.065849142667,0.349741854,0.226623458541
 01/02  18:00:00,1.00101919224,0.342786031824,0.0,0.0,0.0,0.0,0.0,0.166721580822,0.0277529898946,0.0828891267443,0.424880457793,0.288980036984
 01/02  19:00:00,1.21476567362,0.275778392135,0.0,0.0,0.0,0.0,0.0,0.247944942963,0.0412736753538,0.0834922952089,0.461291938484,0.340967821613
 01/02  20:00:00,1.21390341909,0.158447042932,0.0,0.0,0.0,0.0,0.0,0.262907113322,0.0437643285196,0.0747921860178,0.476143989818,0.346500801411
 01/02  21:00:00,1.14697763899,0.107800595774,0.0,0.0,0.0,0.0,0.0,0.226570368393,0.0377156025577,0.0653297857535,0.492513186181,0.315053696106
 01/02  22:00:00,1.04880666066,0.0848170922024,0.0,0.0,0.0,0.0,0.0,0.190233623463,0.0316668721788,0.0584926622668,0.481014823858,0.277603678894
