Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.13140092497,10.4703633038,0.0,9.93456359181,0.266002633578,0.266002633578,0.266002633578,0.210085920843,0.0459277025038,0.122837147866,0.465847520178
 01/01  02:00:00,0.972871130677,10.5603346786,0.0,10.1186386316,0.270931329731,0.270931329731,0.270931329731,0.122550102381,0.0267911558346,0.102975685881,0.428922856849
 01/01  03:00:00,0.916425316569,10.8211709377,0.0,10.4052902644,0.278606562624,0.278606562624,0.278606562624,0.0875357858627,0.0191365395425,0.0864965903205,0.423949838219
 01/01  04:00:00,0.910606553089,11.2132756572,0.0,10.7899647843,0.288906404627,0.288906404627,0.288906404627,0.0875357858627,0.0191365395425,0.0763456071944,0.417982215863
 01/01  05:00:00,0.906738195043,11.2244861916,0.0,10.7266410928,0.28721088287,0.28721088287,0.28721088287,0.0875357858627,0.0191365395425,0.0899621050554,0.402192881712
 01/01  06:00:00,0.974236775676,11.705211753,0.0,10.8851161224,0.291454126655,0.291454126655,0.291454126655,0.0875357858627,0.0191365395425,0.106595392246,0.44881493137
 01/01  07:00:00,1.26108117811,12.5893330943,0.0,11.1669010415,0.298999050989,0.298999050989,0.298999050989,0.201332295531,0.0440140383346,0.177474275597,0.518561517658
 01/01  08:00:00,1.6630461015,11.7294291756,0.0,10.13573977,0.27138922079,0.27138922079,0.27138922079,0.411418216375,0.0899417408384,0.281086459277,0.551010464219
 01/01  09:00:00,1.6022474062,11.622103257,0.0,10.0698090264,0.269623893983,0.269623893983,0.269623893983,0.393911071919,0.0861144362557,0.36605048386,0.465847520178
 01/01  10:00:00,1.37026706622,10.9477990044,0.0,9.53220442107,0.255229276694,0.255229276694,0.255229276694,0.201332295531,0.0440140383346,0.45251754537,0.396473910288
