Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.463960992725,1.83032374923,0.0,1.55379368151,0.0493375549911,0.0493375549911,0.0493375549911,0.0535946394262,0.00915354295514,0.0389770129118,0.302884242441
 01/01  02:00:00,0.415834385245,1.90637666372,0.0,1.69234127327,0.0537368516988,0.0537368516988,0.0537368516988,0.0312635512159,0.00533956869658,0.0366038093052,0.278876604329
 01/01  03:00:00,0.404100008243,2.01129936094,0.0,1.81901823562,0.0577592207368,0.0577592207368,0.0577592207368,0.0223311048432,0.00381397662586,0.0345384536427,0.275643252395
 01/01  04:00:00,0.403276599148,2.15256087961,0.0,1.95500904206,0.0620773319319,0.0620773319319,0.0620773319319,0.0223311048432,0.00381397662586,0.0332769556732,0.271763230073
 01/01  05:00:00,0.395758635965,2.27776317788,0.0,2.02411761135,0.0642717338519,0.0642717338519,0.0642717338519,0.0223311048432,0.00381397662586,0.0338304829616,0.261497337682
 01/01  06:00:00,0.427807399714,2.49363545595,0.0,2.00904315603,0.0637930752133,0.0637930752133,0.0637930752133,0.0223311048432,0.00381397662586,0.0360452309657,0.291810012066
 01/01  07:00:00,0.508113756323,2.75504517052,0.0,1.82502940631,0.0579500932239,0.0579500932239,0.0579500932239,0.0513615444659,0.00877214789658,0.0428581977933,0.337157772944
 01/01  08:00:00,0.613007050691,2.78525473679,0.0,1.72124393733,0.0546545969532,0.0546545969532,0.0546545969532,0.104956183892,0.0179256908517,0.0522011846794,0.358255394315
 01/01  09:00:00,0.546147513779,2.74860865354,0.0,1.73490077746,0.0550882421076,0.0550882421076,0.0550882421076,0.10048996625,0.017162896,0.0605081669804,0.302884242441
 01/01  10:00:00,0.44534914656,2.59950453113,0.0,1.68981848861,0.0536567458081,0.0536567458081,0.0536567458081,0.0513615444659,0.00877214789658,0.0637657254319,0.257778982958
 01/01  11:00:00,0.432302905272,2.33341432722,0.0,1.54291099951,0.0489919975804,0.0489919975804,0.0489919975804,0.0424290814603,0.00724655345856,0.0597797549385,0.263841517835
 01/01  12:00:00,0.426399494141,2.09682461205,0.0,1.38243176923,0.043896306342,0.043896306342,0.043896306342,0.0424290814603,0.00724655345856,0.0588912012469,0.263922351633
 01/01  13:00:00,0.418269616136,1.8860887444,0.0,1.22646175603,0.038943796112,0.038943796112,0.038943796112,0.0424290814603,0.00724655345856,0.0601596923813,0.259476492723
 01/01  14:00:00,0.425515752132,1.82691689217,0.0,1.23218320617,0.0391254691129,0.0391254691129,0.0391254691129,0.0424290814603,0.00724655345856,0.0582516037592,0.268449044341
 01/01  15:00:00,0.44149627857,1.82774168041,0.0,1.2728398992,0.0404164396273,0.0404164396273,0.0404164396273,0.0446622041421,0.00762795325171,0.0552107169154,0.283564964633
 01/01  16:00:00,0.475890805827,1.96385297147,0.0,1.37235798423,0.0435764338088,0.0435764338088,0.0435764338088,0.0558277621079,0.00953494274829,0.0576101118494,0.299327555313
 01/01  17:00:00,0.586952750778,2.17352228343,0.0,1.44789565954,0.0459749789012,0.0459749789012,0.0459749789012,0.0937906259262,0.0160187013551,0.0671024077954,0.3540520368
 01/01  18:00:00,0.804398784227,3.3628743406,0.0,2.39623343313,0.0760875141828,0.0760875141828,0.0760875141828,0.174182598926,0.0297490181551,0.08424901191,0.430116641053
 01/01  19:00:00,0.944173095161,2.53415571371,0.0,1.53106979738,0.0486160043142,0.0486160043142,0.0486160043142,0.259040789568,0.0442421298068,0.0852833183682,0.466976853104
 01/01  20:00:00,0.931463349215,2.19375301043,0.0,1.29107404895,0.0409954279295,0.0409954279295,0.0409954279295,0.274672565176,0.0469119094205,0.076857507091,0.482011939598
 01/01  21:00:00,0.892578262327,2.04559395358,0.0,1.24975987257,0.0396835803701,0.0396835803701,0.0396835803701,0.236709701358,0.0404281508137,0.0671599615243,0.498582868261
 01/01  22:00:00,0.830343129191,1.97929438835,0.0,1.28104668917,0.0406770295346,0.0406770295346,0.0406770295346,0.19874683754,0.0339443922068,0.0600180686125,0.486942801298
 01/01  23:00:00,0.702647039587,1.97583098245,0.0,1.40933640099,0.0447506081485,0.0447506081485,0.0447506081485,0.149618388034,0.0255536441034,0.0513238084703,0.421386590831
 01/01  24:00:00,0.590140318895,1.98518735906,0.0,1.55790919007,0.0494682345868,0.0494682345868,0.0494682345868,0.10272306121,0.0175442910586,0.0442136254855,0.366177106553
 01/02  01:00:00,0.469056905557,1.99147227922,0.0,1.7246234529,0.0547619065898,0.0547619065898,0.0547619065898,0.0535946394262,0.00915354295514,0.0386485741458,0.302884242441
 01/02  02:00:00,0.42060983708,2.05832232467,0.0,1.84903468108,0.058712331852,0.058712331852,0.058712331852,0.0312635512159,0.00533956869658,0.0364037809873,0.278876604329
 01/02  03:00:00,0.407891852884,2.13072532319,0.0,1.94219716814,0.0616705169594,0.0616705169594,0.0616705169594,0.0223311048432,0.00381397662586,0.0344190020612,0.275643252395
 01/02  04:00:00,0.404738384469,2.19762532255,0.0,2.00419241909,0.0636390499374,0.0636390499374,0.0636390499374,0.0223311048432,0.00381397662586,0.0331770229889,0.271763230073
 01/02  05:00:00,0.396001134724,2.28194320546,0.0,2.03682113298,0.064675108318,0.064675108318,0.064675108318,0.0223311048432,0.00381397662586,0.0336696072551,0.261497337682
 01/02  06:00:00,0.427499187746,2.46723030896,0.0,2.00878843915,0.0637849871973,0.0637849871973,0.0637849871973,0.0223311048432,0.00381397662586,0.0357451070141,0.291810012066
 01/02  07:00:00,0.509070136053,2.74353223242,0.0,1.87405608756,0.0595068356737,0.0595068356737,0.0595068356737,0.0513615444659,0.00877214789658,0.0422578350732,0.337157772944
 01/02  08:00:00,0.614036709672,2.78349049506,0.0,1.78971101183,0.0568286295119,0.0568286295119,0.0568286295119,0.104956183892,0.0179256908517,0.0510568111019,0.358255394315
 01/02  09:00:00,0.549253865768,2.83537391284,0.0,1.89111477966,0.0600484997117,0.0600484997117,0.0600484997117,0.10048996625,0.017162896,0.0586542613656,0.302884242441
 01/02  10:00:00,0.450758822891,2.7765893876,0.0,1.92775494461,0.0612119335539,0.0612119335539,0.0612119335539,0.0513615444659,0.00877214789658,0.0616202140166,0.257778982958
 01/02  11:00:00,0.439788696319,2.58201453765,0.0,1.84218674533,0.058494889594,0.058494889594,0.058494889594,0.0424290814603,0.00724655345856,0.0577626539713,0.263841517835
 01/02  12:00:00,0.435505402523,2.39795133072,0.0,1.72484745116,0.0547690191986,0.0547690191986,0.0547690191986,0.0424290814603,0.00724655345856,0.0571243967723,0.263922351633
 01/02  13:00:00,0.430410176414,2.28233057078,0.0,1.65813983889,0.0526508547806,0.0526508547806,0.0526508547806,0.0424290814603,0.00724655345856,0.0585931939908,0.259476492723
 01/02  14:00:00,0.439014626108,2.26909038571,0.0,1.7046567538,0.0541279047099,0.0541279047099,0.0541279047099,0.0424290814603,0.00724655345856,0.0567480421383,0.268449044341
 01/02  15:00:00,0.454359825351,2.24549118981,0.0,1.71838203427,0.0545637230482,0.0545637230482,0.0545637230482,0.0446622041421,0.00762795325171,0.0539269802759,0.283564964633
 01/02  16:00:00,0.477775774553,2.03289875134,0.0,1.46961279857,0.0466645624372,0.0466645624372,0.0466645624372,0.0558277621079,0.00953494274829,0.0564069519463,0.299327555313
 01/02  17:00:00,0.586534908004,2.16369070188,0.0,1.47420571841,0.0468104012558,0.0468104012558,0.0468104012558,0.0937906259262,0.0160187013551,0.065849142667,0.3540520368
 01/02  18:00:00,0.800436857074,3.23568088797,0.0,2.31428700512,0.0734854721957,0.0734854721957,0.0734854721957,0.174182598926,0.0297490181551,0.0828891267443,0.430116641053
 01/02  19:00:00,0.970175810558,3.34907327625,0.0,2.40638142079,0.0764097428706,0.0764097428706,0.0764097428706,0.259040789568,0.0442421298068,0.0834922952089,0.466976853104
 01/02  20:00:00,0.937714630373,2.38749852975,0.0,1.55298982487,0.0493120301602,0.0493120301602,0.0493120301602,0.274672565176,0.0469119094205,0.0747921860178,0.482011939598
 01/02  21:00:00,0.891581407645,2.00697002795,0.0,1.27600375602,0.0405169014592,0.0405169014592,0.0405169014592,0.236709701358,0.0404281508137,0.0653297857535,0.498582868261
 01/02  22:00:00,0.826990191342,1.86804723112,0.0,1.22349201499,0.0388494980313,0.0388494980313,0.0388494980313,0.19874683754,0.0339443922068,0.0584926622668,0.486942801298
 01/02  23:00:00,0.700095459506,1.88468277532,0.0,1.36132318602,0.0432260462572,0.0432260462572,0.0432260462572,0.149618388034,0.0255536441034,0.0502967902808,0.421386590831
 01/02  24:00:00,0.586170737714,1.85263414928,0.0,1.4526309117,0.0461253371931,0.0461253371931,0.0461253371931,0.10272306121,0.0175442910586,0.0435869416981,0.366177106553
 01/03  01:00:00,0.467026737081,1.92758834669,0.0,1.66068710763,0.0527317381134,0.0527317381134,0.0527317381134,0.0535946394262,0.00915354295514,0.0386485741458,0.302884242441
 01/03  02:00:00,0.417073811527,1.94698679825,0.0,1.73767419384,0.0551763062983,0.0551763062983,0.0551763062983,0.0312635512159,0.00533956869658,0.0364037809873,0.278876604329
 01/03  03:00:00,0.403176025525,1.98222755006,0.0,1.79368103769,0.0569546896007,0.0569546896007,0.0569546896007,0.0223311048432,0.00381397662586,0.0344190020612,0.275643252395
 01/03  04:00:00,0.399174660513,2.02242723187,0.0,1.82897337692,0.0580753259812,0.0580753259812,0.0580753259812,0.0223311048432,0.00381397662586,0.0331770229889,0.271763230073
 01/03  05:00:00,0.389648223377,2.08191335077,0.0,1.83674811531,0.0583221969703,0.0583221969703,0.0583221969703,0.0223311048432,0.00381397662586,0.0336696072551,0.261497337682
 01/03  06:00:00,0.422023022654,2.2949115964,0.0,1.83632689904,0.058308822105,0.058308822105,0.058308822105,0.0223311048432,0.00381397662586,0.0357451070141,0.291810012066
 01/03  07:00:00,0.522922583683,3.18011718378,0.0,2.31031292285,0.0733592833041,0.0733592833041,0.0733592833041,0.0513615444659,0.00877214789658,0.0422578350732,0.337157772944
 01/03  08:00:00,0.63322051459,3.38801942627,0.0,2.39386893725,0.0760124344298,0.0760124344298,0.0760124344298,0.104956183892,0.0179256908517,0.0510568111019,0.358255394315
 01/03  09:00:00,0.554797748904,3.0103130833,0.0,2.06570897244,0.0655923828475,0.0655923828475,0.0655923828475,0.10048996625,0.017162896,0.0586542613656,0.302884242441
 01/03  10:00:00,0.454389328565,2.89122340386,0.0,2.04209090589,0.0648424392282,0.0648424392282,0.0648424392282,0.0513615444659,0.00877214789658,0.0616202140166,0.257778982958
 01/03  11:00:00,0.439738835544,2.58069502687,0.0,1.84061647382,0.0584450288193,0.0584450288193,0.0584450288193,0.0424290814603,0.00724655345856,0.0577626539713,0.263841517835
 01/03  12:00:00,0.443733672842,2.65729580171,0.0,1.98398137934,0.0629972895175,0.0629972895175,0.0629972895175,0.0424290814603,0.00724655345856,0.0571243967723,0.263922351633
 01/03  13:00:00,0.442009282595,2.64780205346,0.0,2.02343191505,0.0642499609617,0.0642499609617,0.0642499609617,0.0424290814603,0.00724655345856,0.0585931939908,0.259476492723
 01/03  14:00:00,0.445157860433,2.46272013271,0.0,1.89812638721,0.0602711390346,0.0602711390346,0.0602711390346,0.0424290814603,0.00724655345856,0.0567480421383,0.268449044341
 01/03  15:00:00,0.46238622294,2.49841102394,0.0,1.97115835976,0.0625901206371,0.0625901206371,0.0625901206371,0.0446622041421,0.00762795325171,0.0539269802759,0.283564964633
 01/03  16:00:00,0.493309866604,2.52226336284,0.0,1.95882986825,0.0621986544887,0.0621986544887,0.0621986544887,0.0558277621079,0.00953494274829,0.0564069519463,0.299327555313
 01/03  17:00:00,0.603668813677,2.70346235597,0.0,2.01380591503,0.0639443069287,0.0639443069287,0.0639443069287,0.0937906259262,0.0160187013551,0.065849142667,0.3540520368
